Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,Real Address,BBL,X coordinate,y coordinate
109789,IN DRIVEWAY OF           ,1808 PITMAN AVE,,BRONX,Bronx,,,,
1708869,EXCAVATION SITE,181 MERCER STREET,,MANHATTAN,New York,,,,
208797,GETTY #20 - GETTY MARKETING,1810 CROSS BRONX EXPRESSW,,BRONX,Bronx,,,,
9807434,EXXONMOBIL - CUMBERLAND FARMS,18-10 UTOPIA PARKWAY,,WHITESTONE,Queens,,,,
1800301,ALEX LAU OWNER COMMERCIAL PROPERTY,181-04 UNION TURNPIKE,,QUEENS,Queens,,,,
911107,MOBIL S/S NO. 17-HJ3,181-08 HORACE HARDING EXPWY,,FRESH MEADOWS,Queens,,,,
911107,MOBIL S/S NO. 17-HJ3,181-08 HORACE HARDING EXPWY,,FRESH MEADOWS,Queens,,,,
911107,MOBIL S/S NO. 17-HJ3,181-08 HORACE HARDING EXPWY,,FRESH MEADOWS,Queens,,,,
911107,MOBIL S/S NO. 17-HJ3,181-08 HORACE HARDING EXPWY,,FRESH MEADOWS,Queens,,,,
1408472,GROUND,1815 OCEAN AVE,,BROOKLYN,Kings,,,,
304380,NYCT 2ND AVENUE SUBWAY SOIL BORING,182 2ND AVE,2ND AVE BETWEEN 11TH ST AND 12TH ST,MANHATTAN,New York,,,,
1800441,LI RAILROAD HOLBAN YARD,182 -30 LIBERTY AVE,,HOLLIS,Queens,,,,
1501271,COMMERCIAL ESTABLISHMENT,182 EAST 7TH ST,,MANHATTAN,New York,,,,
1505573,WAREHOUSE,182 MONTROSE AVE,,BROOKLYN,Kings,,,,
1701116,HENDERSON RESIDENCE,1820 ALBANY AVE,,BROOKLYN,Kings,,,,
610581,GETTY # 235,1820 RICHMOND ROAD, ,STATEN ISLAND,Richmond,,,,
506321,SUBSTATION,1823 SEGEWICK AVE, ,BRONX,Bronx,,,,
1400223,GROUNDWATER,18-33 41ST ST,,QUEENS,Queens,,,,
330041,NORTHLAND MARKETING,184-17 HORACE HARDING EXP,,FLUSHING MEADOWS,Queens,,,,
1702628,SORRENTINO REC CENTER,18-48 CORNAGA AVENUE,,FAR ROCKAWAY,Queens,,,,
1802894,LAND ALEXANDER PROPERTY,185 VAN DYKE STREET,,BROOKLYN,Kings,,,,
