Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,Real Address,BBL,X coordinate,y coordinate
211186,BP AMOCO STATION #5055,3055 WESTCHESTER AVENUE,3055 WESTCHESTER AVE,BRONX,Bronx,,,,
211186,BP AMOCO STATION #5055,3055 WESTCHESTER AVENUE,3055 WESTCHESTER AVE,BRONX,Bronx,,,,
1106532,PETROLEUM ODOR FROM SEWER TRAP,30-58 79TH ST,,QUEENS,Queens,,,,
9200212,BROOKLYN NORTH 03/03A DOS -DDC,306 RUTLEDGE STREET,,BROOKLYN,Kings,,,,
9200212,BROOKLYN NORTH 03/03A DOS -DDC,306 RUTLEDGE STREET,,BROOKLYN,Kings,,,,
9706683,BROWNSVILLE HOUSES -NYCHA,307 BLAKE AVE,,BROOKLYN,Kings,,,,
1803329,TONY'S MASONRY,307 NELSON AVE,,STATEN ISLAND,Richmond,,,,
9912806,LANGSTON HUGHES -NYCHA,307 SUTTER AVENUE,,BROOKLYN,Kings,,,,
9201799,WOLF PETROLEUM CORP,3072 CROPSEY AVE,,BROOKLYN,Kings,,,,
9201799,WOLF PETROLEUM CORP,3072 CROPSEY AVE,,BROOKLYN,Kings,,,,
1114388,GULF GAS STATION,30-75 21ST ST,,ASTORIA,Queens,,,,
1703480,RESIDENTIAL,309 CRISTAL AVE,,STATEN ISLAN,Richmond,,,,
900911,COMMERCIAL PROPERTY,309 EAST 94TH ST,,MANHATTAN,New York,,,,
9213736,POLETTI STATION (NYPA),30TH AVE & 21 ST,,LONG ISLAND CITY,Queens,,,,
9701363,ASTORIA COMPLEX,31 ST AND 20TH AVE,,QUEENS,Queens,,,,
9607058,ASTORIA GAS TURBINE,31 ST ST/20TH AV,,QUEENS,Queens,,,,
1801537,COMMERCIAL,310 EAST 90TH ST,,MANHATTAN,New York,,,,
1603982,REDEVELOPMENT LOT,310 NORTH 7TH ST,,BROOKLYN,Kings,,,,
1509573,TANK TEST FAILURES TTF (TWO),3100 ATLANTIC AVENUE/31 BERRIMAN STREET,BUILDING #6 AND BULDING #7,BROOKLYN,Kings,,,,
313721,GAS STATION,3100 WEBSTER AVE,,BRONX,Bronx,,,,
9416241,31-01  20TH AVENUE,31001 20TH AVENUE,,ASTORIA,Queens,,,,
9416241,31-01  20TH AVENUE,31001 20TH AVENUE,,ASTORIA,Queens,,,,
9416319,31-01 20TH AVENUE,31001 20TH AVENUE,,ASTORIA,Queens,,,,
1303258,ASTORIA WEST YARD,31-01 20 AVE,,QUEENS,Queens,,,,
1802766,ASTORIA YARD,31-01 20 AVE,,QUEENS,Queens,,,,
401773,ASTORIA COMPLEX,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
401773,ASTORIA COMPLEX,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
9515784,ASTORIA CON ED,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
9512534,ASTORIA FACILITY,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
9516321,ASTORIA GAS TURBINE SITE,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
207953,ASTORIA GAS TURBINE,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
309014,ASTORIA GAS TURBINES,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
9809200,ASTORIA GAS TURBINES,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
308656,ASTORIA GENERATING CO.,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
9704710,ASTORIA GENERATING STATION,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
9801213,ASTORIA GT SITE,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
8912497,ASTORIA HEAD HOUSE,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
109516,ASTORIA WEST SUBSTATION,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
8810166,ASTORIA YARD,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
8810177,NORTH QUEENS SUBSTATION,31-01 20 AVENUE,,LONG ISLAND CITY,Queens,,,,
9700391,ASTORIA FACILITY,3101 20TH AV, ,QUEENS,Queens,,,,
1611685,COMMERCIAL,3101 20TH AVE, ,ASTORIA,Queens,,,,
207053,RELIANT ENERGY,3101 20TH AVE,,QUEENS,Queens,,,,
1508123,CON ED OUTFALL G/MANHOLE 2A,31-01 20TH AVE,,ASTORIA,Queens,,,,
1200074,ASTORIA ANNEX FACILITY,31-01 20TH AVE,,QUEENS,Queens,,,,
1302525,ASTORIA GAS TURBINE POWER LLC,31-01 20TH AVE,,ASTORIA,Queens,,,,
1603537,ASTORIA SUBSTATION,31-01 20TH AVE,,ASTORIA,Queens,,,,
1802049,ASTORIA WEST SUBSTATION,31-01 20TH AVE,,ASTORIA,Queens,,,,
1802598,CON ED ASTORIA GEN STATION,31-01 20TH AVE,,QUEENS,Queens,,,,
1508171,CON ED PROPERTY,31-01 20TH AVE,,QUEENS,Queens,,,,
9516639,FEEDER LEAK MANHOLE 18688,31-01 20TH AVE,,ASTORIA,Queens,,,,
1506701,NRG ASTORIA GAS TURBINE GENERATOR #7,31-01 20TH AVE,,ASTORIA,Queens,,,,
1610902,SUB STATION,31-01 20TH AVE,,LONG ISLAND CITY,Queens,,,,
1803377,SUBSTATION  ASTORIA,31-01 20TH AVE,,ASTORIA,Queens,,,,
1702467,SUBSTATION ASTORA WEST,31-01 20TH AVE,,QUEENS,Queens,,,,
9703716,31-01 20TH AVENUE,31-01 20TH AVENUE,,QUEENS,Queens,,,,
9811813,ALONGSIDE FENCE SOUTH,31-01 20TH AVENUE,,LONG ISLAND CITY,Queens,,,,
9602600,ASTORIA COMPLEX,31-01 20TH AVENUE,,ASTORIA,Queens,,,,
9607973,ASTORIA COMPLEX,31-01 20TH AVENUE,,QUEENS,Queens,,,,
912800,ASTORIA EAST SUBSTATION,31-01 20TH AVENUE,,QUEENS,Queens,,,,
9607921,ASTORIA FUEL OIL FARM,31-01 20TH AVENUE,,QUEENS,Queens,,,,
9507380,ASTORIA FUEL OIL FARM,31-01 20TH AVENUE,,QUEENS,Queens,,,,
9807628,ASTORIA GAS TURBINE SITE TANK GT 2-3/4,31-01 20TH AVENUE,,ASTORIA,Queens,,,,
9809196,ASTORIA GAS TURBINES DUMP TANKS VARIOUS,31-01 20TH AVENUE,,LONG ISLAND CITY,Queens,,,,
9809195,ASTORIA GAS TURBINES TANK 3-3 OR 4-1/2B,31-01 20TH AVENUE,,LONG ISLAND CITY,Queens,,,,
9508766,ASTORIA LNG,31-01 20TH AVENUE,,ASTORIA,Queens,,,,
9901144,ASTORIA STATION,31-01 20TH AVENUE,,ASTORIA,Queens,,,,
9201454,ASTORIA WEST SUBSTATION,31-01 20TH AVENUE,,QUEENS,Queens,,,,
9201454,ASTORIA WEST SUBSTATION,31-01 20TH AVENUE,,QUEENS,Queens,,,,
1800610,CON EDISON - ASTORIA (BLDG 137),3101 2OTH AVE,,ASTORIA,Queens,,,,
9602701,ASTORIA SITE-LYSTER CREEK,31-02 20TH AVE,,ASTORIA,Queens,,,,
9513209,ASTORIA GAS TURBINE SITE,3102 20TH AVENUE,,ASTORIA,Queens,,,,
9912665,CHARLES POLETTI PLANT,31-03 20TH AVENUE,,ASTORIA,Queens,,,,
303504,NYPA ASTORIA,31-03 20TH AVENUE,,ASTORIA,Queens,,,,
1801517,CON ED FACILTY,31-06 FARRINGTON ST,,QUEENS,Queens,,,,
1709532,MORLEF REALTY - PHASE II,311 BERGEN STREET,,BROOKLYN,Kings,,,,
1801578,CON ED FOXHILL SUBSTATION,311 VIRGINIA AVE,,STATEN ISLAND,Richmond,,,,
1802602,RITE OF WAY,31-16 20TH AVENUE,,QUEENS,Queens,,,,
1609976,RESIDENCE,3117 BROADWAY,,MANHATTAN,New York,,,,
1108166,TREVOR DAY SCHOOL,312-318 EAST 95TH STREET (SOURCE SITE),320 EAST 95TH STREET (IMPACTED SITE),MANHATTAN,New York,,,,
1412034,COMMERICAL,31-25 DOWNING STREET,,FLUSHING,Queens,,,,
1408768,ABACUS FEDERAL SAVING,5518 8TH AVE,,BROOKLYN,Kings,,,,
1708376,HOME,3144 MICKLE AVE,,BRONX,Bronx,,,,
9515879,72 PRECINCT NYPD -DDC,830 4TH AVENUE,,BROOKLYN,Kings,,,,
9909720,FORMER CITYGAS/LAGE CAR WASH,315 GRAND CONCOURSE,,BRONX,Bronx,,,,
1600907,SUPER FUND SITE 2 ID 24129,315 KINGSLAND AVE,,BROOKLYN,Kings,,,,
1405935,TTF- BUILDING,315 WEST 55 STREET,,MANHATTAN,New York,,,,
1402276,MULTI DWELLING,3150 138TH ST,,FLUSHING,Queens,,,,
1802616,AVIATOR SPORTS & EVENT CENTER,3159 FLATBUSH AVE,,,Kings,,,,
1114321,APARTMENT BUILDING,316 2ND AVE,,NEW YORK,New York,,,,
1509644,NYC PS 155 SCHOOL,319 E117TH ST,,MANHATTAN,New York,,,,
9006556,ASTORIA POWER PLANT,31ST ST & 20TH AVENUE,,ASTORIA,Queens,,,,
9512354,ASTORIA GEN STATION,31ST STREET & 20TH AVENUE,,ASTORIA,Queens,,,,
9414168,ASTORIA TRANSPORT. YARD,31ST STREET & 20TH AVENUE,,ASTORIA,Queens,,,,
1701399,WEST 49TH ST SUBSTATION,31ST STREET AND 20TH AVE,,ASTORIA,Queens,,,,
1600961,PENN STATION,31ST STREET AND 8TH AVE,,MANHATTAN,New York,,,,
9516339,CON EDISON / NRG SPILL,31ST STREET AT 20TH AVENUE,,QUEENS,Queens,,,,
1109733,EAST 40TH ST SUBSTATION,320 E 40TH ST,,MANHATTAN,New York,,,,
1304276,BASEMENT,320 E 46TH ST,,MANHATTAN,New York,,,,
1708417,EAST 40TH STREET SUBSTATION,320 EAST 40TH STREET,,MANHATTAN,New York,,,,
9405188,GAS STATION - AMOCO -MTBE,32-02 LINDEN PL,32002 LINDEN PL,FLUSHING,Queens,,,,
1802042,E63RD ST SUBSTATION,321 E63RD ST,,MANHATTAN,New York,,,,
707261,EAST 63 ST S/S.  XFMR #2 OIL PUMP,321 EAST 63 STREET.    SUBSTATION,,MANHATTAN,New York,,,,
1708125,COMMERCIAL,321 EAST 63TH ST,,MANHATTAN,New York,,,,
210852,HARPER STREET REPAIR SHOP DOT -DDC,32-11 HARPER STREET,,FLUSHING,Queens,,,,
1508871,HOME,3213 FAIRMOUNT AVE,,BRONX,Bronx,,,,
1801011,ASPHALT,3216 CORLEAR AVE,,BRONX,Bronx,,,,
9604890,FORMER WOLF-AMOCO STATION / COLUMBIA UNIVERSITY,3225 BROADWAY,,MANHATTAN,New York,,,,
212744,WEBSTER AVE PURS,3230 WEBSTER AVENUE,,BRONX,Bronx,,,,
206588,WEBSTER AVENUE PURS,3230 WEBSTER AVENUE,,BRONX,Bronx,,,,
8905358,32-32 QUEENS BLVD/SUNOCO,32-32 QUEENS BLVD,,NEW YORK CITY,Queens,32-20 Queens Boulevard,Q/248/29,,
9709908,AMOCO GAS STATION,32-35 LINDEN PL,,FLUSHING,Queens,,,,
9709908,AMOCO GAS STATION,32-35 LINDEN PL,,FLUSHING,Queens,,,,
709505,COMMERCIAL SITE,32-42 INDIA ST, ,BROOKLYN,Kings,,,,
1611217,BOSTON RESIDENCE,3243 FENTON AVE,,BRONX,Bronx,,,,
9515879,72 PRECINCT NYPD -DDC,830 4TH AVENUE,,BROOKLYN,Kings,,,,
9813012,DHL DIST -MTBE,3269 GALE AVE,32-69 GALE AVE,LONG ISLAND CITY,Queens,,,,
9813012,DHL DIST -MTBE,3269 GALE AVE,32-69 GALE AVE,LONG ISLAND CITY,Queens,,,,
9813012,DHL DIST -MTBE,3269 GALE AVE,32-69 GALE AVE,LONG ISLAND CITY,Queens,,,,
701228,FORMER GAS STATION,327 10TH AVE, ,NEW YORK,New York,,,,
701228,FORMER GAS STATION,327 10TH AVE, ,NEW YORK,New York,,,,
9805838,CITYGAS STATION,327 HAMILTON AVENUE,,BROOKLYN,Kings,,,,
1709328,COMMERCIAL BUILING/RETAIL,33 NASSAU AVE,,BROOKLYN,Kings,,,,
1502443,CON ED,33 W 74TH ST,,NEW YORK,New York,,,,
1801458,VALVE  HUNTS POINT COMPRESSURE STATION,331 HUNTS POINT AVE,,BRONX,Bronx,,,,
305303,PENSKE TRUCK LEASING,33-17 47TH AVENUE,,LONG ISLAND CITY,Queens,,,,
705410,VACANT WAREHOUSE,3319 ATLANTIC AVE, ,BROOKLYN,Kings,,,,
9706698,NYCT EASTCHESTER BUS DEPOT,3320 HUTCHINSON AVE,,BRONX,Bronx,,,,
1304944,333 SEVENTH AVENUE REALTY CO - TTF,333 7TH AVE,,NEW YORK CITY,New York,319 7th Avenue,M/804/1,,
1801279,OPEN YARD,333 AMBER ST,,BROOKLYN,Kings,,,,
512743,BP#5056,3333 EAST TREMONT AVE,,BRONX,Bronx,,,,
1708179,SOIL,3347 MICKLE AVE,,BRONX,Bronx,,,,
1704675,APT COMPLEX,335 EAST 95TH ST,,MANHATTAN,New York,,,,
508758,SHELL STATION,3355 EAST TREMONT AVE,,BRONX,Bronx,,,,
9700765,FORMER WAREHOUSE/ FUTURE STORAGE OER,3362 PARK AVENUE,,BRONX,Bronx,,,,
1106000,BP HARTUNG,338 SCHOLES ST,,BROOKLYN,Kings,,,,
1711213,COMMERCIAL,34 -09 COLLEGE POINT BLVD,,FLUSHING,Queens,,,,
712424,APARTMENT BUILDING,34 BERRY STREET,FORMER COMMRCL BLDG AND LOT,BROOKLYN,Kings,,,,
1102101,RESIDENTIAL BUILDING - TTF,34 WATT STREET,,MANHATTAN,New York,,,,
704349,PARKSIDE SERVICE CENTER,340 4TH AVE,,BROOKLYN,Kings,,,,
700322,PHOENIX HOUSE,34-14 9TH ST, ,LONG ISLAND CITY,Queens,,,,
1510505,RESIDENCE,34-15 31ST AVE,,ASTORA,Queens,,,,
811325,SUBWAY STATION S/B PLATFORM,34-17 NORTHERN BLVD,,QUEENS,Queens,,,,
1113642,UNK APT BLD,34-20 32ND ST,,QUEENS,Queens,,,,
500616,RAVENSWOOD HOUSES -NYCHA,34-21 21ST ST,,QUEENS,Queens,,,,
500616,RAVENSWOOD HOUSES -NYCHA,34-21 21ST ST,,QUEENS,Queens,,,,
500616,RAVENSWOOD HOUSES -NYCHA,34-21 21ST ST,,QUEENS,Queens,,,,
1800698,RESIDENTIAL,3424 208TH ST,,BAYSIDE,Queens,,,,
301087,MOBIL STATION #17-642,3424 EAST TREMONT AVE,,BRONX,Bronx,,,,
301087,MOBIL STATION #17-642,3424 EAST TREMONT AVE,,BRONX,Bronx,,,,
9709215,BLOCK 1443 LOT 19,34-25 82ND ST-JACKSON HTS,,QUEENS,Queens,,,,
9801141,BLESSED SACRAMENT CHURCH ,34-43 93RD STREET,,JACKSON HEIGHTS,Queens,,,,
9801141,BLESSED SACRAMENT CHURCH ,34-43 93RD STREET,,JACKSON HEIGHTS,Queens,,,,
9910103,FORMER GAS STATION,3443 ATLANTIC AVE,,BROOKLYN,Kings,,,,
1307723,COMMERCIAL BUILDING,34-44 STEINWAY ST,,ASTORIA,Queens,,,,
1710258,PUMP,345 EAST 73RD ST,,MANHATTAN,New York,,,,
8802667,G & G PETRO (FORMER CITGO) - MISC,34-51 BELL BLVD,,BAYSIDE,Queens,,,,
8802667,G & G PETRO (FORMER CITGO) - MISC,34-51 BELL BLVD,,BAYSIDE,Queens,,,,
4315,RAINEY PURS UNIT 61,34-58 VERNON BL,,QUEENS,Queens,,,,
1705622,RAINEY SUB STATION,34-58 VERNON BLVD, ,QUEENS,Queens,,,,
702782,RAINEY PURS S/S  -  PRE-COOLER # 3,34-58 VERNON BOULVARD  - PURS,EIGHT OUNCE RELEASE,QUEENS,Queens,,,,
702780,RAINEY PURS S/S  -- HEAT EXCHANGER #3,34-58 VERNON BOULVARD  PURS,OOZING.,QUEENS,Queens,,,,
1306812,FIRST FLOOR,347 CONVENT AVE,,MANHATTAN,New York,,,,
1704926,COMMERCIAL,35 TH  AVE AND VERNON BLVD,,QUEEN,Queens,,,,
9516144,RAINEY PURS,35 VERNON BLVD,,QUEENS,Queens,,,,
1104130,LAWRENCE CARE CENTER (REAR OF BLDG),350 BEACH 54TH ST,,ARVERNE,Queens,,,,
1307416,LAWRENCE NURSING CARE CENTER,350 BEACH 54TH ST,,ARVERNE,Queens,,,,
111974,BP AMOCO STATION  #17782,350 GRAND CONCOURSE,,BRONX,Bronx,,,,
111974,BP AMOCO STATION  #17782,350 GRAND CONCOURSE,,BRONX,Bronx,,,,
111974,BP AMOCO STATION  #17782,350 GRAND CONCOURSE,,BRONX,Bronx,,,,
1700856,SPEEDWAY #7819,3501 FORT HAMELTON PARKWAY,,BROOKLYN,Kings,,,,
1301630,UNDERGROUND TANK,35-10 150TH STREET,,FLUSHING,Queens,,,,
1802234,PAVERAS RESIDENCE,35-11 105TH STREET,,QUEENS,Queens,,,,
1010606,PRIVATE DWELLING,352 EAST 152ND STREET,,BRONX,Bronx,,,,
8705123,WILLETS POINT ASPHALT,35-32 COLLEGE POINT BLVD,,FLUSHING,Queens,,,,
407754,CLIN HAM CORP,354 HAMILTON AVE, ,BROOKLYN,Kings,,,,
1108555,OVERFILL DURING DELIVERY,35-44 159TH STREET,,FLUSHING,Queens,,,,
1709986,ROADWAY,35-45 81ST ST,,QUEENS,Queens,,,,
1711660,APARTMENT BUILDING,355 WEST 45TH ST ;BASEMENT,,MANHATTAN,New York,,,,
1708145,COMMERCIAL,35-58 VERNON BLVD,,NYC,Queens,,,,
1801554,CON ED RAINEY SUB STATION,35-58 VERNON BLVD,,QUEENS,Queens,,,,
1801195,CON ED,35-58 VERNON BLVD,,QUEENS,Queens,,,,
1801905,INSIDE,35-58 VERNON BLVD,,QUEENS,Queens,,,,
709298,RAINEY SUBSTATION  LOWER YARD,35-58 VERNON BLVD,,LONG ISLAND CITY,Queens,,,,
1410035,RAINY SUBSTATION,35-58 VERNON BLVD,,QUEENS,Queens,,,,
1710718,SOIL,35-58 VERNON BLVD,,LONG ISLAND CITY,Queens,,,,
1707178,SUB STATION,35-58 VERNON BLVD,,QUEENS,Queens,,,,
1703755,RAINEY SUB STSTION,35-58 VERNON BLVD.,,QUEENS,Queens,,,,
9601072,KENT AVENUE CENTRAL SHOP DEP -DDC,356 FLUSHING AVENUE,,BROOKLYN,Kings,,,,
1708686,GROUND WATER,357 BEACH 79TH STREET,,FAR ROCK AWAY,Queens,,,,
9512583,MIDTOWN SOUTH PRECINCT NYPD -DDC,357 WEST 35TH STREET,,MANHATTAN,New York,,,,
12375,RAINEY SUBSTATION PH#6,35TH AVE/VERNON BLVD,,QUEENS,Queens,,,,
1709691,BLUE STONE,36 GLD STREET,,BROOKLYN,Kings,,,,
1709666,PLYMOUTH ST SUBSTATION CURCUIT SWITCH #3,36 GOLD ST,,BROOKLYN,Kings,,,,
1709667,PLYMOUTH SUBSTATION CURCUIT SWITCH #4,36 GOLD ST,,BROOKLYN,Kings,,,,
1709690,BLUE STONE,36 GOLD STREET,,BROOKLYN,Kings,,,,
1711571,RESIDENCE,36 SIMONSON PLACE,,STATEN ISLAND,Richmond,,,,
1711571,RESIDENCE,36 SIMONSON PLACE,,STATEN ISLAND,Richmond,,,,
1611653,INDUSTRIAL,360 KINGS LAND AVE,,BROOKLYN,Kings,,,,
1609797,WAREHOUSE,360-08 REVIEW AVE,,LONG ISLAND CITY,Queens,,,,
726,SILVER STAR MOTORS,36-11 NORTHERN BLVD,,LONG ISLAND CITY,Queens,,,,
1704586,RESIDENCE,3619 201ST ST,,BAYSIDE,Queens,,,,
1106694,COMMERCIAL BUSINESS,362 fourth ave,,brooklyn,Kings,,,,
1412159,INSIDE RESIDENCE FROM OUTSIDE SOURCE,3647 JOHNSON AVE,,BRONX,Bronx,,,,
8906596,MORRIS -NYCHA,3663 3RD AVENUE,,NEW YORK CITY,Bronx,,,,
1708870,OUTSIDE,3674 SHORE PARKWAY,,BROOKLYN,Kings,,,,
1802857,ON SITE,369 GLENMORE,,BROOKLYN,Kings,,,,
9613349,COMMUNITY CHURCH IN CHRIS,369 LENOX AV,,NEW YORK,New York,,,,
9009327,RAINEY -RAVENSWOOD,36TH AVE & VERNON BLVD,,LONG ISLAND CITY,Queens,,,,
9603735,36TH AVENUE/VERNON BLVD,36TH AVENUE/VERNON BLVD,,QUEENS,Queens,,,,
1408363,CONSTRUCTION SITE - HUDSON YARDS,36TH ST,,MANHATTAN,New York,,,,
1511369,SOIL - OER,37 FORREST ST,,BROOKLYN,Kings,,,,
1509420,ROYAL FARMS INC,37 OTSEGO STREET,,BROOKLYN,Kings,,,,
9814075,FORMER HESS STATION 32GRA,370 GRAND CONCOURSE,AKA SPEEDWAY #1349,BRONX,Bronx,,,,
9502211,EXXONMOBIL S/S # 17HW9 (12556),3701 AMBOY ROAD,,STATEN ISLAND,Richmond,,,,
1705957,ON SITE,37-02 27TH ST AND 37TH AVE,,LONG ISLAND CITY,Queens,,,,
1801873,TANK REMOVAL,3708 NAUTILUS AVE,,SEAGATE,Kings,,,,
1603003,OER - VACANT LOT,37-21 32ND ST,,LONG ISLAND CITY,Queens,,,,
9301857,MOTT HAVEN HOUSES-NYCHA,373 EAST 141ST STREET,,BRONX,Bronx,,,,
9901712,DDC- (FORMER PS 111) -  LIC LIBRARY,37-44 21ST STREET,,LONG ISLAND CITY,Queens,,,,
1609531,COMMERCIAL SITE - PHASE II,376 - 378 FLUSHING AVE,,BROOKLYN,Kings,,,,
909627,MOBIL 12666,378 CONEY IS AVE,,BROOKLYN,Kings,,,,
707419,COMMERCIAL,37-98 RAILROAD AVE, ,LONG ISLAND CITY,Queens,,,,
1708340,ON SIDE OF BUILDING,3799 DYRE AVE,,BRONX,Bronx,,,,
1707568,STREET,37TH AVE BETWEEN 59TH AND 60TH ST,,QUEEN,Queens,,,,
903287,SOIL,38 -20 REVIEW AVE,,LONG ISLAND CITY,Queens,,,,
1602528,OER - JOB SITE,38-11 31 ST,,LONG ISLAND CITY,Queens,,,,
1800670,SHEFA SCHOOL,38-42 EAST 29TH ST,,MANHATTAN,New York,,,,
200801,WAINWRIGHT SUBSTATION,3842 RICHMOND AVE,,STATEN ISLAND,Richmond,,,,
707418,COMMERCIAL,38-50 REVIEW AVE, ,MASPETH,Queens,,,,
812974,WASTE MANAGEMENT MW-2,38-50 REVIEW AVE, ,MASPETH,Queens,,,,
812973,WASTE MANAGEMENT,38-50 REVIEW AVE, ,MASPETH,Queens,,,,
903356,VALVE CO.,38-54 RAILROAD AVE,,LONG ISLAND CITY,Queens,,,,
9704952,POWER HOUSE-RAVENSWOOD,38-54 VERNEN BLVD,,QUEENS,Queens,,,,
1707811,CONCRETE,3854 VERNON BLVD,,QUEENS,Queens,,,,
708553,GS - BOILER HOUSE A-RAVENSWOOD,3854 VERNON BLVD, ,LONG ISLAND CITY,Queens,,,,
9912003,RAVENSWOOD GENERATOR SITE,3854 VERNON BLVD,,QUEENS,Queens,,,,
1706971,SOIL,3854 VERNON BLVD,,QUEENS,Queens,,,,
905194,TRANS CANADA-RAVENSWOOD,3854 VERNON BLVD, ,LONG ISLAND CITY,Queens,,,,
1611095,CON ED,38-54 VERNON BLVD,,LONG ISLAND CITY,Queens,,,,
1706584,CONCRETE,38-54 VERNON BLVD,,LONG ISLAND CITY,Queens,,,,
751068,RAINEY PUMP HOUSE FLOOR & A-HOUSE-RAVENSWOOD,38-54 VERNON BLVD,LONG ISLAND CITY,LONG ISLAND CITY,Queens,,,,
912294,RAVENSWOOD GENERATING STATION,38-54 VERNON BLVD,(KEROSENE SPILL),LONG ISLAND CITY,Queens,,,,
1510992,RAVENSWOOD GENERATING STATION,38-54 VERNON BLVD,TRANSCANADA,LONG ISLAND CITY,Queens,,,,
1707488,RAVENSWOOD TUNNEL,38-54 VERNON BLVE,,ASTORI,Queens,,,,
9910096,GAS TURBINE -RAVENSWOOD,38-54 VERNON BOULEVARD,,LONG ISLAND CITY,Queens,,,,
9806863,GEN STATION-RAVENSWOOD,38-54 VERNON BOULEVARD,,LONG ISLAND CITY,Queens,,,,
9900155,GENERATING ST-RAVENSWOOD,38-54 VERNON BOULEVARD,,LONG ISLAND CITY,Queens,,,,
9704979,RAVENWOOD STATION -RAVENSWOOD,38-54 VERNON BOULEVARD,,LONG ISLAND CITY,Queens,,,,
9814108,VERNON SUBST REACTOR-31231-RAVENSWOOD,38-54 VERNON BOULEVARD,,LONG ISLAND CITY,Queens,,,,
9407884,GEN STATION -RAVENSWOOD,38-58 VERNON BLVD,,LONG ISLAND CITY,Queens,,,,
1202509,J AND S SUPPLY,38-60 REVIEW AVE,,LONG ISLAND CITY,Queens,,,,
1005673,TTF- BUILDING,3867 SHORE PARKWAY,GOLDEN GATE INN,BROOKLYN,Kings,,,,
707417,COMMERCIAL,38-70 REVIEW AVE, ,MASPETH,Queens,,,,
903488,WERWAISS REALTY,38-78 REVIEW AVE,,LONG ISLAND CITY,Queens,,,,
9509009,831 EAST 46TH ST,831 EAST 46TH ST,,BROOKLYN,Kings,,,,
702445,COMMERICAL PROPERTY/ UNOC,3885 EAST TREMONT AVE, ,BRONX,Bronx,,,,
9113339,38TH AVE & 10TH ST,38TH AVE & 10TH ST,,QUEENS,Queens,,,,
9706370,FEEDER #61,38TH AVE AND 11TH ST,,QUEENS,Queens,,,,
1705805,APT BUILDING,39 -65 52 ST,,QUEENS,Queens,,,,
1510648,CONSTRUCTION,39 EAST 21ST ST,,MANHATTEN,New York,,,,
1610026,VAULT,39 WEST 37 ST,,NEW YORK,New York,,,,
1703343,BUSINESS,3901 8TH AVE,,BROOKLYN,Kings,,,,
9500846,FORMER HESS STATION 32525,39-04 NORTHERN BLVD,AKA SPEEDWAY 7830,LONG ISLAND CITY,Queens,,,,
813060,WAREHOUSE,39-14 REVIEW AVE,,LONG ISLAND CITY,Queens,,,,
903389,APARTMENT BUILDING,3915 BROADWAY,600 WEST 164TH STREET,NEW YORK,New York,,,,
1708570,TRACK SUNNYSIDE YARD,3929 HONEYWELL ST,,LONG ISLAND CITY,Queens,,,,
103847,VAN DYKE HOUSES -NYCHA,393 DUMONT AVE,,BROOKLYN,Kings,,,,
103847,VAN DYKE HOUSES -NYCHA,393 DUMONT AVE,,BROOKLYN,Kings,,,,
9713069,ENGINE CO. 072 FDNY -DDC,3930 EAST TREMONT AVENUE,,BRONX,Bronx,,,,
903616,AMERICAN CLEANING SOLUTIONS,39-30 REVIEW AVE,,LONG ISLAND CITY,Queens,,,,
111502,BP AMOCO STATION #5053,3936 10TH AVE,3936 TENTH AVE,MANHATTAN,New York,,,,
111502,BP AMOCO STATION #5053,3936 10TH AVE,3936 TENTH AVE,MANHATTAN,New York,,,,
709853,MARINA,3939 EMMONS AVE, ,BROOKLYN,Kings,,,,
1302592,SUNY DOWNSTATE,395 LENOX ROAD,A/K/A 450 CLARKSON AVE,BROOKLYN,Kings,,,,
1611263,HOME,3951 AMUNDSON AVE,,BRONX,Bronx,,,,
106375,207 TH STREET YARD-NYCT,3961 TENTH AVE,,MANHATTAN,New York,3875 10 Avenue,M/2189/1,,
9904767,23-44 102ND STREET,23-44 102 ST,,EAST ELMHURST,Queens,,,,
1309179,CON ED GOWANUS SUB STATION,3RD AVE AND 39TH,,BROOKLYN,Kings,,,,
1801774,SOIL GROUND WATER,4 EAST 107TH ST,,NEW YORK,New York,,,,
1801776,UNKNOWN,4 EAST 107TH STREET,,MANHATTAN,New York,,,,
1002377,DWECK RESIDENCE,40 COLIN PLACE,,BROOKLYN,Kings,,,,
1801265,EAST RIVER IAO WATERSIDE APARTMENTS,40 WATERSIDE PLAZZA,,NEW YORK,New York,,,,
1411201,UNKNOWN RESIDENCE,40 WEST 29TH ST,,NEW YORK,New York,,,,
