ManHATTAN
"#7,"#7 ,LINE, TRACK C2, COL 57"
"#7,"#7 ,LINE, TRACK C2, COL 57"
400,400 ,EAST 71ST STREET
400,400 ,WEST 61ST ST
400,400 ,WEST END AVE
401,401 ,EAST 120TH ST
401,401 ,WEST 207TH STREET
40369,4036 9,TH AVE
406510,4065 10,TH AVE
406510,4065 10,TH AVE
4070-4076,4070-4076 ,BROADWAY
410,410 ,CONVENT AVE
41689,4168 9,TH AV
418,418 ,EAST 105TH STREET
419,419 ,E 36TH ST
419,419 ,EAST 63RD
420,420 ,E 78TH ST
420,420 ,E 86TH ST
421,421 ,W 57TH ST
424,424 ,WEST 55TH STREET
425201,425 201,ST ST
425,425 ,E 105TH ST
425,425 ,W 201ST ST
425,425 ,WEST 201 ST.       SUBSTATION
425,425 ,WEST 201 STREET
425,425 ,WEST 201 STREET
425,425 ,WEST 201 TH ST
4275,4275 ,BROADWAY
4275,4275 ,BROADWAY
431,431 ,W. 202ND ST
432,432 ,PARK AVE SOUTH
43403,4340 3,RD AVE
44010,440 10,TH AVE
45,45 ,JACKSON STREET
45,45 ,LEANORD ST
45,45 ,LEANORD ST
45,45 ,LEONARD ST
45,45 ,LEONARD ST
45,45 ,LEONARD STREET
45,45 ,LEONARD STREET
45,45 ,LEONARD STREET
45063,450 63,RD ST
45611,456 11,TH AVE
461,461 ,WEST 41ST STREET
464,464 ,WEST 110 STREET.   SUBSTATION
464,464 ,WEST 110TH ST
464,464 ,WEST 110TH ST
4650,4650 ,BROADWAY
467,467 ,WEST 157TH STREET
47,47 ,EAST 21ST ST
47,47 ,W 42ND ST
470,470 ,WEST END AVE
4721,472 1,ST AVENUE
475,475 ,RIVERSIDE DR.
4778,4778 ,BROADWAY
48,48 ,LAIGHT STREET
487,487 ,WEST 129TH ST
489-493,489-493 ,CANAL STREET
495,495 ,WEST 129TH ST
496,496 ,BROADWAY
5,5 ,ALLEN ST
50,50 ,BAYARD STREET
50,50 ,ST AND 11TH AVE.
50,50 ,THAYER STREET
500,500 ,ACE AVE
500,500 ,W 138TH ST
502,502 ,E 6TH ST
502,502 ,E 6TH ST
502,502 ,EAST 6 ST
502,502 ,EAST 6TH ST
502,502 ,EAST 6TH ST
